ticker,calendarDate,accumulatedOtherComprehensiveIncome,assets,assetsCurrent,assetsNonCurrent,bookValuePerShare,capitalExpenditure,cashAndEquivalents,cashAndEquivalentsUSD,costOfRevenue,consolidatedIncome,currentRatio,debtToEquityRatio,debt,debtCurrent,debtNonCurrent,debtUSD,deferredRevenue,depreciationAmortizationAndAccretion,deposits,dividendYield,dividendsPerBasicCommonShare,earningBeforeInterestTaxes,earningsBeforeInterestTaxesDepreciationAmortization,EBITDAMargin,earningsBeforeInterestTaxesDepreciationAmortizationUSD,earningBeforeInterestTaxesUSD,earningsBeforeTax,earningsPerBasicShare,earningsPerDilutedShare,earningsPerBasicShareUSD,shareholdersEquity,shareholdersEquityUSD,enterpriseValue,enterpriseValueOverEBIT,enterpriseValueOverEBITDA,freeCashFlow,freeCashFlowPerShare,foreignCurrencyUSDExchangeRate,grossProfit,grossMargin,goodwillAndIntangibleAssets,interestExpense,investedCapital,inventory,investments,investmentsCurrent,investmentsNonCurrent,totalLiabilities,currentLiabilities,liabilitiesNonCurrent,marketCapitalization,netCashFlow,netCashFlowBusinessAcquisitionsDisposals,issuanceEquityShares,issuanceDebtSecurities,paymentDividendsOtherCashDistributions,netCashFlowFromFinancing,netCashFlowFromInvesting,netCashFlowInvestmentAcquisitionsDisposals,netCashFlowFromOperations,effectOfExchangeRateChangesOnCash,netIncome,netIncomeCommonStock,netIncomeCommonStockUSD,netLossIncomeFromDiscontinuedOperations,netIncomeToNonControllingInterests,profitMargin,operatingExpenses,operatingIncome,tradeAndNonTradePayables,payoutRatio,priceToBookValue,priceEarnings,priceToEarningsRatio,propertyPlantEquipmentNet,preferredDividendsIncomeStatementImpact,sharePriceAdjustedClose,priceSales,priceToSalesRatio,tradeAndNonTradeReceivables,accumulatedRetainedEarningsDeficit,revenues,revenuesUSD,researchAndDevelopmentExpense,shareBasedCompensation,sellingGeneralAndAdministrativeExpense,shareFactor,shares,weightedAverageShares,weightedAverageSharesDiluted,salesPerShare,tangibleAssetValue,taxAssets,incomeTaxExpense,taxLiabilities,tangibleAssetsBookValuePerShare,workingCapital,change_leverage,change_curr_ratio,change_shares,change_gross_margin
EBAY,2020-03-31,285000000,18929000000,6248000000.0,12681000000.0,2.809,-98000000,880000000,880000000,526000000,3412000000,1.337,7.95,9195000000,1015000000.0,8180000000.0,9195000000,108000000,147000000,0,0.015,0.16,3558000000,3705000000,1.561,3705000000,3558000000,3558000000,4.53,4.51,4.53,2115000000,2115000000,36229985266.0,7.0,6.303,494000000,0.656,1,1848000000,0.778,4900000000,0,17671000000,0,4627000000,3550000000.0,1077000000.0,16814000000,4673000000.0,12141000000.0,27914985266.0,-97000000,0,-3992000000,994000000,-114000000,-3161000000,2506000000,-1510000000,592000000,-34000000,3412000000,3412000000,3412000000,-2927000000,0,1.437,1219000000,629000000,268000000,0.035,13.199,5.965,6.594,2007000000,0,39.83,2.651,2.848,635000000,21051000000.0,2374000000,2374000000,267000000,100000000,841000000,1.0,700853258,753000000,757000000.0,3.153,14029000000,4287000000,146000000,3726000000,18.631,1575000000.0,943000000,0.1799999999999999,-95227568,0.008
ECL,2019-12-31,-2089700000,20869100000,4828400000.0,16040700000.0,30.115,-247800000,186400000,186400000,2218200000,434300000,1.33,1.398,6779300000,380600000.0,6398700000.0,6779300000,0,244800000,0,0.01,0.47,569100000,813900000,0.213,813900000,569100000,522900000,1.49,1.47,1.49,8685300000,8685300000,58592534098.0,28.0,19.235,573200000,1.988,1,1605400000,0.42,10924200000,46200000,12907200000,1505600000,0,0.0,0.0,12143300000,3630600000.0,8512700000.0,51999634098.0,50500000,-4800000,-5100000,-401500000,-136900000,-502100000,-269900000,0,821000000,1500000,429600000,429600000,429600000,0,4700000,0.112,1045000000,560400000,1284300000,0.315,5.987,33.357,33.355,4532400000,0,180.45,3.488,3.488,2796500000,9993700000.0,3823600000,3823600000,0,17900000,984000000,1.0,288166440,288400000,292500000.0,13.258,9944900000,0,93300000,883200000,34.483,1197800000.0,-385600000,0.0869999999999999,-77939,-0.002
ED,2019-12-31,0,58079000000,4272000000.0,53807000000.0,54.267,-961000000,1217000000,1217000000,1349000000,313000000,0.679,2.212,22539000000,3203000000.0,19336000000.0,22539000000,0,431000000,346000000,0.032,1.505,567000000,998000000,0.338,998000000,567000000,348000000,0.89,0.89,0.89,18022000000,18022000000,52890484142.0,20.0,12.26,213000000,0.641,1,1602000000,0.543,2003000000,219000000,71111000000,352000000,2065000000,0.0,2065000000.0,39866000000,6287000000.0,33579000000.0,31568484142.0,964000000,-10000000,0,910000000,-234000000,688000000,-898000000,0,1174000000,0,295000000,295000000,295000000,0,18000000,0.1,1037000000,565000000,1164000000,1.691,1.752,23.506,23.125,44746000000,0,94.58,2.511,2.471,2019000000,,2951000000,2951000000,0,0,0,1.0,333775472,332100000,333100000.0,8.886,56076000000,20000000,53000000,6303000000,168.853,-2015000000.0,910000000,0.103,1345064,-0.0229999999999999
EFX,2020-03-31,-918900000,7622800000,1149000000.0,6473800000.0,19.674,-88000000,369900000,369900000,414100000,114500000,1.005,2.176,3508200000,3100000.0,3505100000.0,3508200000,111100000,94300000,0,0.012,0.39,179300000,273600000,0.286,273600000,179300000,148600000,0.93,0.92,0.93,2386500000,2386500000,18923223216.0,40.0,23.029,-57200000,-0.472,1,543800000,0.568,5252700000,30700000,4364600000,0,0,0.0,0.0,5193000000,1143800000.0,4049200000.0,15784923216.0,-31400000,-48100000,16700000,123600000,-47300000,92700000,-136100000,0,30800000,-18800000,112600000,112600000,112600000,0,1900000,0.118,407900000,135900000,170900000,0.419,6.614,58.528,58.314,962100000,0,130.04,4.361,4.358,605500000,4196900000.0,957900000,957900000,0,18800000,316000000,1.0,121385137,121300000,122600000.0,7.897,2370100000,0,36000000,263400000,19.539,5200000.0,125600000,0.1149999999999998,149415,-0.009
EIX,2020-03-31,-37000000,65071000000,4037000000.0,61034000000.0,43.529,-1268000000,451000000,451000000,1809000000,213000000,0.783,2.976,18046000000,1449000000.0,16597000000.0,18046000000,0,501000000,298000000,0.043,0.637,354000000,855000000,0.306,855000000,354000000,129000000,0.5,0.5,0.5,15801000000,15801000000,38939647347.0,20.0,10.417,-953000000,-2.625,1,981000000,0.352,0,225000000,77508000000,363000000,4373000000,51000000.0,4322000000.0,47025000000,5158000000.0,41867000000.0,21344647347.0,1268000000,0,87000000,2404000000,-226000000,2231000000,-1278000000,-14000000,315000000,0,213000000,183000000,183000000,0,0,0.066,679000000,302000000,1454000000,1.274,1.351,17.952,17.217,45494000000,30000000,58.71,1.734,1.731,1194000000,9463000000.0,2790000000,2790000000,0,0,0,1.0,363560677,363000000,364000000.0,7.686,65071000000,158000000,-84000000,6559000000,179.259,-1121000000.0,1596000000,0.085,990602,-0.079
EL,2020-03-31,-712000000,18363000000,9233000000.0,9130000000.0,12.018,-177000000,4876000000,4876000000,836000000,-4000000,1.625,3.235,8860000000,1898000000.0,6962000000.0,8860000000,0,160000000,0,0.011,0.48,120000000,280000000,0.084,280000000,120000000,78000000,-0.02,-0.02,-0.02,4329000000,4329000000,66098162930.0,33.0,25.58,513000000,1.424,1,2509000000,0.75,3823000000,42000000,12843000000,2087000000,0,0.0,0.0,14005000000,5681000000.0,8324000000.0,62114162930.0,1280000000,-7000000,7000000,1003000000,-172000000,838000000,-207000000,-23000000,690000000,-41000000,-6000000,-6000000,-6000000,0,2000000,-0.002,2400000000,109000000,1162000000,-24.0,14.348,47.67,47.663,4538000000,0,172.54,4.019,4.022,1846000000,10595000000.0,3345000000,3345000000,0,71000000,2030000000,1.0,359998626,360200000,360200000.0,9.287,14540000000,0,84000000,0,40.366,3552000000.0,989000000,-0.06,458380,-0.025
EMC,2016-06-30,-561000000,46745000000,16550000000.0,30195000000.0,11.324,-265000000,9354000000,9354000000,2281000000,630000000,1.451,1.02,6279000000,800000000.0,5479000000.0,6279000000,11171000000,502000000,0,0.016,0.115,845000000,1347000000,0.224,1347000000,845000000,803000000,0.3,0.29,0.3,22138000000,22138000000,52597156607.0,17.0,10.549,1343000000,0.687,1,3736000000,0.621,19135000000,42000000,13132000000,1243000000,6794000000,2407000000.0,4387000000.0,22590000000,11403000000.0,11187000000.0,55672156607.0,2130000000,-49000000,39000000,-503000000,-226000000,-74000000,641000000,961000000,1608000000,-45000000,581000000,581000000,581000000,0,49000000,0.097,2854000000,882000000,1158000000,0.383,2.515,26.511,26.343,3725000000,0,28.45,2.264,2.262,2896000000,22679000000.0,6017000000,6017000000,821000000,296000000,2034000000,1.0,1956842060,1955000000,1973000000.0,3.078,27610000000,1169000000,222000000,772000000,14.123,5147000000.0,-123000000,0.157,3645357,0.026
EMN,2019-12-31,-214000000,16008000000,3321000000.0,12687000000.0,43.811,-117000000,204000000,204000000,1708000000,27000000,1.856,1.674,5782000000,171000000.0,5611000000.0,5782000000,0,149000000,0,0.038,0.66,61000000,210000000,0.095,210000000,61000000,8000000,0.21,0.21,0.21,5958000000,5958000000,14527702357.0,13.0,8.407,554000000,4.074,1,497000000,0.225,6442000000,53000000,13355000000,1662000000,0,0.0,0.0,9976000000,1789000000.0,8187000000.0,8949702357.0,-3000000,0,0,-469000000,-85000000,-556000000,-120000000,0,671000000,2000000,26000000,26000000,26000000,0,1000000,0.012,432000000,65000000,1618000000,3.143,1.502,11.791,11.922,5571000000,0,65.81,0.965,0.965,1375000000,7965000000.0,2205000000,2205000000,60000000,0,176000000,1.0,135993046,135993046,,16.214,9566000000,0,-18000000,915000000,70.342,1532000000.0,-427000000,0.2020000000000001,13831,-0.0219999999999999
EMR,2020-03-31,-1903000000,21711000000,8032000000.0,13679000000.0,12.581,-111000000,2583000000,2583000000,2412000000,524000000,1.012,1.882,7701000000,3741000000.0,3960000000.0,7701000000,0,211000000,0,0.037,0.5,718000000,929000000,0.223,929000000,718000000,682000000,0.85,0.84,0.85,7517000000,7517000000,37274120646.0,13.0,10.151,477000000,0.798,1,1750000000,0.42,9018000000,36000000,9871000000,2058000000,0,0.0,0.0,14148000000,7940000000.0,6208000000.0,32156120646.0,948000000,-96000000,-813000000,1755000000,-306000000,655000000,-232000000,0,588000000,-63000000,517000000,517000000,517000000,0,7000000,0.124,1025000000,725000000,1521000000,0.588,4.278,14.86,15.246,3553000000,0,53.82,1.79,1.79,2641000000,24431000000.0,4162000000,4162000000,0,-38000000,983000000,1.0,597475300,597475300,,6.966,12693000000,0,165000000,0,21.244,92000000.0,1699000000,-0.123,-14365754,-0.004
EOG,2019-12-31,-4652000,37124608000,5273339000.0,31851269000.0,37.429,-1368294000,2027972000,2027972000,1907724000,636521000,1.175,0.715,5544808000,1383889000.0,4160919000.0,5544808000,0,959208000,0,0.018,0.287,871903000,1831111000,0.424,1831111000,871903000,831208000,1.1,1.1,1.1,21640716000,21640716000,38422681700.0,10.0,5.137,438910000,0.759,1,2412522000,0.558,0,40695000,36154456000,767297000,0,0.0,0.0,15483892000,4486988000.0,10996904000.0,34905845700.0,444867000,0,5474000,9638000,-167349000,-165136000,-1197027000,0,1807204000,-174000,636521000,636521000,636521000,0,0,0.147,1548771000,863751000,2429127000,0.261,1.613,12.763,12.685,30364595000,0,60.0,2.008,1.994,2001658000,15648604000.0,4320246000,4320246000,36495000,42415000,125187000,1.0,581764095,578186000,579538000.0,7.472,37124608000,154028000,194687000,5300951000,64.209,786351000.0,-16855000,0.098,0,0.033
